iter	Passed	Remaining
0	1	157
1	2	134
2	3	122
3	4	115
4	5	109
5	6	105
6	7	103
7	8	100
8	9	97
9	10	97
10	11	94
11	12	94
12	13	93
13	14	91
14	16	91
15	17	90
16	18	88
17	19	88
18	20	87
19	21	86
20	22	85
21	23	84
22	24	83
23	26	82
24	27	81
25	28	80
26	29	79
27	30	78
28	31	78
29	33	77
30	34	76
31	35	75
32	36	74
33	37	73
34	38	72
35	39	70
36	41	69
37	42	68
38	43	67
39	44	66
40	45	65
41	46	64
42	47	63
43	49	62
44	50	61
45	51	60
46	52	58
47	53	57
48	54	56
49	55	55
50	56	54
51	57	53
52	58	51
53	59	50
54	60	49
55	61	48
56	62	47
57	63	45
58	64	44
59	65	43
60	66	42
61	67	41
62	68	40
63	69	39
64	70	38
65	71	37
66	72	35
67	73	34
68	74	33
69	75	32
70	76	31
71	77	30
72	78	29
73	79	28
74	80	26
75	81	25
76	82	24
77	83	23
78	84	22
79	85	21
80	86	20
81	87	19
82	88	18
83	89	17
84	90	15
85	91	14
86	92	13
87	93	12
88	94	11
89	95	10
90	96	9
91	97	8
92	98	7
93	99	6
94	100	5
95	101	4
96	102	3
97	103	2
98	104	1
99	105	0
